platform,seller_type,category,listing_age_days,explicit_negotiable,rfq_supported,score
AMAZON,MERCHANT,ELECTRONICS,1,1,1,0.9844
AMAZON,MERCHANT,ELECTRONICS,1,0,1,0.8418
AMAZON,MERCHANT,ELECTRONICS,1,1,0,0.9672
AMAZON,MERCHANT,ELECTRONICS,1,0,0,0.7133
AMAZON,MERCHANT,ELECTRONICS,30,1,1,0.9847
AMAZON,MERCHANT,ELECTRONICS,30,0,1,0.8445
AMAZON,MERCHANT,ELECTRONICS,30,1,0,0.9678
AMAZON,MERCHANT,ELECTRONICS,30,0,0,0.7174
AMAZON,MERCHANT,ELECTRONICS,90,1,1,0.9864
AMAZON,MERCHANT,ELECTRONICS,90,0,1,0.8597
AMAZON,MERCHANT,ELECTRONICS,90,1,0,0.9714
AMAZON,MERCHANT,ELECTRONICS,90,0,0,0.7412
AMAZON,MERCHANT,VEHICLES,1,1,1,0.9828
AMAZON,MERCHANT,VEHICLES,1,0,1,0.8283
AMAZON,MERCHANT,VEHICLES,1,1,0,0.9639
AMAZON,MERCHANT,VEHICLES,1,0,0,0.6928
AMAZON,MERCHANT,VEHICLES,30,1,1,0.9831
AMAZON,MERCHANT,VEHICLES,30,0,1,0.8311
AMAZON,MERCHANT,VEHICLES,30,1,0,0.9646
AMAZON,MERCHANT,VEHICLES,30,0,0,0.6971
AMAZON,MERCHANT,VEHICLES,90,1,1,0.985
AMAZON,MERCHANT,VEHICLES,90,0,1,0.8474
AMAZON,MERCHANT,VEHICLES,90,1,0,0.9685
AMAZON,MERCHANT,VEHICLES,90,0,0,0.722
AMAZON,MERCHANT,REAL_ESTATE,1,1,1,0.9828
AMAZON,MERCHANT,REAL_ESTATE,1,0,1,0.8283
AMAZON,MERCHANT,REAL_ESTATE,1,1,0,0.9639
AMAZON,MERCHANT,REAL_ESTATE,1,0,0,0.6928
AMAZON,MERCHANT,REAL_ESTATE,30,1,1,0.9831
AMAZON,MERCHANT,REAL_ESTATE,30,0,1,0.8311
AMAZON,MERCHANT,REAL_ESTATE,30,1,0,0.9646
AMAZON,MERCHANT,REAL_ESTATE,30,0,0,0.6971
AMAZON,MERCHANT,REAL_ESTATE,90,1,1,0.985
AMAZON,MERCHANT,REAL_ESTATE,90,0,1,0.8474
AMAZON,MERCHANT,REAL_ESTATE,90,1,0,0.9685
AMAZON,MERCHANT,REAL_ESTATE,90,0,0,0.722
AMAZON,INDIVIDUAL,ELECTRONICS,1,1,1,0.9349
AMAZON,INDIVIDUAL,ELECTRONICS,1,0,1,0.5482
AMAZON,INDIVIDUAL,ELECTRONICS,1,1,0,0.8704
AMAZON,INDIVIDUAL,ELECTRONICS,1,0,0,0.3619
AMAZON,INDIVIDUAL,ELECTRONICS,30,1,1,0.9361
AMAZON,INDIVIDUAL,ELECTRONICS,30,0,1,0.5532
AMAZON,INDIVIDUAL,ELECTRONICS,30,1,0,0.8727
AMAZON,INDIVIDUAL,ELECTRONICS,30,0,0,0.3666
AMAZON,INDIVIDUAL,ELECTRONICS,90,1,1,0.943
AMAZON,INDIVIDUAL,ELECTRONICS,90,0,1,0.5828
AMAZON,INDIVIDUAL,ELECTRONICS,90,1,0,0.8855
AMAZON,INDIVIDUAL,ELECTRONICS,90,0,0,0.3951
AMAZON,INDIVIDUAL,VEHICLES,1,1,1,0.9287
AMAZON,INDIVIDUAL,VEHICLES,1,0,1,0.5237
AMAZON,INDIVIDUAL,VEHICLES,1,1,0,0.8589
AMAZON,INDIVIDUAL,VEHICLES,1,0,0,0.3396
AMAZON,INDIVIDUAL,VEHICLES,30,1,1,0.93
AMAZON,INDIVIDUAL,VEHICLES,30,0,1,0.5288
AMAZON,INDIVIDUAL,VEHICLES,30,1,0,0.8613
AMAZON,INDIVIDUAL,VEHICLES,30,0,0,0.3441
AMAZON,INDIVIDUAL,VEHICLES,90,1,1,0.9375
AMAZON,INDIVIDUAL,VEHICLES,90,0,1,0.5587
AMAZON,INDIVIDUAL,VEHICLES,90,1,0,0.8752
AMAZON,INDIVIDUAL,VEHICLES,90,0,0,0.3719
AMAZON,INDIVIDUAL,REAL_ESTATE,1,1,1,0.9287
AMAZON,INDIVIDUAL,REAL_ESTATE,1,0,1,0.5237
AMAZON,INDIVIDUAL,REAL_ESTATE,1,1,0,0.8589
AMAZON,INDIVIDUAL,REAL_ESTATE,1,0,0,0.3396
AMAZON,INDIVIDUAL,REAL_ESTATE,30,1,1,0.93
AMAZON,INDIVIDUAL,REAL_ESTATE,30,0,1,0.5288
AMAZON,INDIVIDUAL,REAL_ESTATE,30,1,0,0.8613
AMAZON,INDIVIDUAL,REAL_ESTATE,30,0,0,0.3441
AMAZON,INDIVIDUAL,REAL_ESTATE,90,1,1,0.9375
AMAZON,INDIVIDUAL,REAL_ESTATE,90,0,1,0.5587
AMAZON,INDIVIDUAL,REAL_ESTATE,90,1,0,0.8752
AMAZON,INDIVIDUAL,REAL_ESTATE,90,0,0,0.3719
FLIPKART,MERCHANT,ELECTRONICS,1,1,1,0.9551
FLIPKART,MERCHANT,ELECTRONICS,1,0,1,0.6425
FLIPKART,MERCHANT,ELECTRONICS,1,1,0,0.9087
FLIPKART,MERCHANT,ELECTRONICS,1,0,0,0.4566
