platform,seller_type,category,listing_age_days,explicit_negotiable,rfq_supported,quantity,historical_price_edits,price_roundness,merchant_negotiation_enabled,negotiable
OLX,MERCHANT,GENERAL,41,0,0,34,2,1.0,1,1
INDIAMART,INDIVIDUAL,ELECTRONICS,37,0,1,1,7,0.2,0,0
AMAZON,INDIVIDUAL,GENERAL,10,0,0,1,3,0.2,0,1
FLIPKART,INDIVIDUAL,ELECTRONICS,10,0,0,1,8,1.0,0,0
LOCAL_CLASSIFIEDS,MERCHANT,GENERAL,168,1,0,1,4,0.2,1,1
OLX,INDIVIDUAL,ELECTRONICS,118,1,0,11,0,0.2,0,1
INDIAMART,INDIVIDUAL,GENERAL,139,0,1,1,1,1.0,0,0
AMAZON,INDIVIDUAL,ELECTRONICS,127,0,0,1,4,0.2,0,0
FLIPKART,MERCHANT,GENERAL,167,0,0,1,2,0.2,1,0
LOCAL_CLASSIFIEDS,INDIVIDUAL,ELECTRONICS,31,0,0,1,6,1.0,0,0
OLX,INDIVIDUAL,GENERAL,156,1,0,99,7,0.2,0,1
INDIAMART,INDIVIDUAL,ELECTRONICS,136,0,1,1,8,0.2,0,1
AMAZON,MERCHANT,GENERAL,106,0,0,1,2,1.0,1,1
FLIPKART,INDIVIDUAL,ELECTRONICS,92,0,0,1,7,0.2,0,1
LOCAL_CLASSIFIEDS,INDIVIDUAL,GENERAL,49,1,0,1,3,0.2,0,1
OLX,INDIVIDUAL,ELECTRONICS,147,0,0,15,3,1.0,0,0
INDIAMART,MERCHANT,GENERAL,142,0,1,1,0,0.2,1,0
AMAZON,INDIVIDUAL,ELECTRONICS,92,0,0,1,1,0.2,0,0
FLIPKART,INDIVIDUAL,GENERAL,10,0,0,1,8,1.0,0,0
LOCAL_CLASSIFIEDS,INDIVIDUAL,ELECTRONICS,80,1,0,1,6,0.2,0,1
OLX,MERCHANT,GENERAL,60,1,0,98,1,0.2,1,1
INDIAMART,INDIVIDUAL,ELECTRONICS,52,0,1,1,6,1.0,0,1
AMAZON,INDIVIDUAL,GENERAL,156,0,0,1,7,0.2,0,1
FLIPKART,INDIVIDUAL,ELECTRONICS,101,0,0,1,3,0.2,0,0
LOCAL_CLASSIFIEDS,MERCHANT,GENERAL,47,0,0,1,4,1.0,1,1
OLX,INDIVIDUAL,ELECTRONICS,107,1,0,74,6,0.2,0,1
INDIAMART,INDIVIDUAL,GENERAL,159,0,1,1,1,0.2,0,0
AMAZON,INDIVIDUAL,ELECTRONICS,137,0,0,1,3,1.0,0,0
FLIPKART,MERCHANT,GENERAL,29,0,0,1,1,0.2,1,0
LOCAL_CLASSIFIEDS,INDIVIDUAL,ELECTRONICS,125,1,0,1,4,0.2,0,0
OLX,INDIVIDUAL,GENERAL,138,0,0,81,3,1.0,0,0
INDIAMART,INDIVIDUAL,ELECTRONICS,112,0,1,1,0,0.2,0,1
AMAZON,MERCHANT,GENERAL,177,0,0,1,5,0.2,1,0
FLIPKART,INDIVIDUAL,ELECTRONICS,31,0,0,1,4,1.0,0,0
LOCAL_CLASSIFIEDS,INDIVIDUAL,GENERAL,144,1,0,1,8,0.2,0,1
OLX,INDIVIDUAL,ELECTRONICS,125,1,0,44,1,0.2,0,1
INDIAMART,MERCHANT,GENERAL,36,0,1,1,7,1.0,1,1
AMAZON,INDIVIDUAL,ELECTRONICS,43,0,0,1,2,0.2,0,0
FLIPKART,INDIVIDUAL,GENERAL,40,0,0,1,1,0.2,0,0
LOCAL_CLASSIFIEDS,INDIVIDUAL,ELECTRONICS,100,0,0,1,5,1.0,0,0
OLX,MERCHANT,GENERAL,19,1,0,99,5,0.2,1,1
INDIAMART,INDIVIDUAL,ELECTRONICS,103,0,1,1,5,0.2,0,0
AMAZON,INDIVIDUAL,GENERAL,20,0,0,1,3,1.0,0,1
FLIPKART,INDIVIDUAL,ELECTRONICS,30,0,0,1,2,0.2,0,0
LOCAL_CLASSIFIEDS,MERCHANT,GENERAL,123,1,0,1,6,0.2,1,1
OLX,INDIVIDUAL,ELECTRONICS,140,0,0,37,5,1.0,0,1
INDIAMART,INDIVIDUAL,GENERAL,87,0,1,1,3,0.2,0,0
AMAZON,INDIVIDUAL,ELECTRONICS,37,0,0,1,5,0.2,0,0
FLIPKART,MERCHANT,GENERAL,151,0,0,1,5,1.0,1,0
LOCAL_CLASSIFIEDS,INDIVIDUAL,ELECTRONICS,69,1,0,1,5,0.2,0,1
OLX,INDIVIDUAL,GENERAL,23,1,0,64,2,0.2,0,1
INDIAMART,INDIVIDUAL,ELECTRONICS,157,0,1,1,1,1.0,0,1
AMAZON,MERCHANT,GENERAL,44,0,0,1,4,0.2,1,1
FLIPKART,INDIVIDUAL,ELECTRONICS,83,0,0,1,0,0.2,0,0
LOCAL_CLASSIFIEDS,INDIVIDUAL,GENERAL,68,0,0,1,4,1.0,0,1
OLX,INDIVIDUAL,ELECTRONICS,30,1,0,31,0,0.2,0,1
INDIAMART,MERCHANT,GENERAL,168,0,1,1,5,0.2,1,0
AMAZON,INDIVIDUAL,ELECTRONICS,100,0,0,1,7,1.0,0,0
FLIPKART,INDIVIDUAL,GENERAL,140,0,0,1,0,0.2,0,0
LOCAL_CLASSIFIEDS,INDIVIDUAL,ELECTRONICS,13,1,0,1,1,0.2,0,1
OLX,MERCHANT,GENERAL,48,0,0,50,0,1.0,1,1
INDIAMART,INDIVIDUAL,ELECTRONICS,177,0,1,1,4,0.2,0,0
AMAZON,INDIVIDUAL,GENERAL,13,0,0,1,0,0.2,0,0
FLIPKART,INDIVIDUAL,ELECTRONICS,116,0,0,1,3,1.0,0,0
LOCAL_CLASSIFIEDS,MERCHANT,GENERAL,167,1,0,1,4,0.2,1,1
OLX,INDIVIDUAL,ELECTRONICS,111,1,0,86,6,0.2,0,1
INDIAMART,INDIVIDUAL,GENERAL,76,0,1,1,3,1.0,0,1
AMAZON,INDIVIDUAL,ELECTRONICS,70,0,0,1,6,0.2,0,1
FLIPKART,MERCHANT,GENERAL,165,0,0,1,4,0.2,1,1
LOCAL_CLASSIFIEDS,INDIVIDUAL,ELECTRONICS,18,0,0,1,1,1.0,0,1
OLX,INDIVIDUAL,GENERAL,16,1,0,72,8,0.2,0,1
INDIAMART,INDIVIDUAL,ELECTRONICS,10,0,1,1,0,0.2,0,1
AMAZON,MERCHANT,GENERAL,65,0,0,1,1,1.0,1,1
FLIPKART,INDIVIDUAL,ELECTRONICS,2,0,0,1,3,0.2,0,1
LOCAL_CLASSIFIEDS,INDIVIDUAL,GENERAL,72,1,0,1,3,0.2,0,1
OLX,INDIVIDUAL,ELECTRONICS,12,0,0,33,5,1.0,0,1
INDIAMART,MERCHANT,GENERAL,27,0,1,1,3,0.2,1,0
AMAZON,INDIVIDUAL,ELECTRONICS,132,0,0,1,8,0.2,0,0
FLIPKART,INDIVIDUAL,GENERAL,57,0,0,1,3,1.0,0,0
LOCAL_CLASSIFIEDS,INDIVIDUAL,ELECTRONICS,16,1,0,1,6,0.2,0,1
OLX,MERCHANT,GENERAL,121,1,0,89,3,0.2,1,1
INDIAMART,INDIVIDUAL,ELECTRONICS,86,0,1,1,7,1.0,0,0
AMAZON,INDIVIDUAL,GENERAL,84,0,0,1,3,0.2,0,0
FLIPKART,INDIVIDUAL,ELECTRONICS,30,0,0,1,1,0.2,0,0
LOCAL_CLASSIFIEDS,MERCHANT,GENERAL,42,0,0,1,1,1.0,1,1
OLX,INDIVIDUAL,ELECTRONICS,120,1,0,13,5,0.2,0,1
INDIAMART,INDIVIDUAL,GENERAL,47,0,1,1,4,0.2,0,0
AMAZON,INDIVIDUAL,ELECTRONICS,170,0,0,1,3,1.0,0,0
FLIPKART,MERCHANT,GENERAL,93,0,0,1,5,0.2,1,0
LOCAL_CLASSIFIEDS,INDIVIDUAL,ELECTRONICS,117,1,0,1,4,0.2,0,0
OLX,INDIVIDUAL,GENERAL,156,0,0,14,4,1.0,0,0
INDIAMART,INDIVIDUAL,ELECTRONICS,8,0,1,1,1,0.2,0,0
AMAZON,MERCHANT,GENERAL,23,0,0,1,8,0.2,1,1
FLIPKART,INDIVIDUAL,ELECTRONICS,55,0,0,1,8,1.0,0,0
LOCAL_CLASSIFIEDS,INDIVIDUAL,GENERAL,140,1,0,1,0,0.2,0,1
OLX,INDIVIDUAL,ELECTRONICS,103,1,0,93,4,0.2,0,1
INDIAMART,MERCHANT,GENERAL,27,0,1,1,1,1.0,1,1
AMAZON,INDIVIDUAL,ELECTRONICS,108,0,0,1,8,0.2,0,0
FLIPKART,INDIVIDUAL,GENERAL,56,0,0,1,0,0.2,0,0
LOCAL_CLASSIFIEDS,INDIVIDUAL,ELECTRONICS,95,0,0,1,6,1.0,0,1
OLX,MERCHANT,GENERAL,104,1,0,82,3,0.2,1,1
INDIAMART,INDIVIDUAL,ELECTRONICS,26,0,1,1,4,0.2,0,1
AMAZON,INDIVIDUAL,GENERAL,147,0,0,1,3,1.0,0,0
FLIPKART,INDIVIDUAL,ELECTRONICS,88,0,0,1,5,0.2,0,1
LOCAL_CLASSIFIEDS,MERCHANT,GENERAL,8,1,0,1,8,0.2,1,1
OLX,INDIVIDUAL,ELECTRONICS,136,0,0,80,7,1.0,0,1
INDIAMART,INDIVIDUAL,GENERAL,124,0,1,1,6,0.2,0,0
AMAZON,INDIVIDUAL,ELECTRONICS,118,0,0,1,3,0.2,0,0
FLIPKART,MERCHANT,GENERAL,121,0,0,1,2,1.0,1,0
LOCAL_CLASSIFIEDS,INDIVIDUAL,ELECTRONICS,73,1,0,1,1,0.2,0,0
OLX,INDIVIDUAL,GENERAL,170,1,0,15,4,0.2,0,1
INDIAMART,INDIVIDUAL,ELECTRONICS,133,0,1,1,7,1.0,0,1
AMAZON,MERCHANT,GENERAL,97,0,0,1,4,0.2,1,1
FLIPKART,INDIVIDUAL,ELECTRONICS,177,0,0,1,4,0.2,0,0
LOCAL_CLASSIFIEDS,INDIVIDUAL,GENERAL,162,0,0,1,2,1.0,0,1
OLX,INDIVIDUAL,ELECTRONICS,70,1,0,44,3,0.2,0,1
INDIAMART,MERCHANT,GENERAL,51,0,1,1,7,0.2,1,1
AMAZON,INDIVIDUAL,ELECTRONICS,119,0,0,1,2,1.0,0,0
FLIPKART,INDIVIDUAL,GENERAL,118,0,0,1,8,0.2,0,0
LOCAL_CLASSIFIEDS,INDIVIDUAL,ELECTRONICS,87,1,0,1,2,0.2,0,1
OLX,MERCHANT,GENERAL,68,0,0,95,7,1.0,1,1
INDIAMART,INDIVIDUAL,ELECTRONICS,140,0,1,1,7,0.2,0,0
AMAZON,INDIVIDUAL,GENERAL,170,0,0,1,5,0.2,0,1
FLIPKART,INDIVIDUAL,ELECTRONICS,12,0,0,1,8,1.0,0,1
LOCAL_CLASSIFIEDS,MERCHANT,GENERAL,42,1,0,1,7,0.2,1,1
OLX,INDIVIDUAL,ELECTRONICS,58,1,0,73,3,0.2,0,1
INDIAMART,INDIVIDUAL,GENERAL,24,0,1,1,8,1.0,0,0
AMAZON,INDIVIDUAL,ELECTRONICS,25,0,0,1,3,0.2,0,0
FLIPKART,MERCHANT,GENERAL,1,0,0,1,4,0.2,1,0
LOCAL_CLASSIFIEDS,INDIVIDUAL,ELECTRONICS,45,0,0,1,4,1.0,0,0
OLX,INDIVIDUAL,GENERAL,136,1,0,79,3,0.2,0,1
INDIAMART,INDIVIDUAL,ELECTRONICS,133,0,1,1,5,0.2,0,1
AMAZON,MERCHANT,GENERAL,25,0,0,1,1,1.0,1,1
FLIPKART,INDIVIDUAL,ELECTRONICS,178,0,0,1,2,0.2,0,0
LOCAL_CLASSIFIEDS,INDIVIDUAL,GENERAL,107,1,0,1,0,0.2,0,1
OLX,INDIVIDUAL,ELECTRONICS,72,0,0,89,8,1.0,0,0
INDIAMART,MERCHANT,GENERAL,35,0,1,1,0,0.2,1,1
AMAZON,INDIVIDUAL,ELECTRONICS,180,0,0,1,3,0.2,0,1
FLIPKART,INDIVIDUAL,GENERAL,176,0,0,1,7,1.0,0,0
LOCAL_CLASSIFIEDS,INDIVIDUAL,ELECTRONICS,160,1,0,1,1,0.2,0,1
OLX,MERCHANT,GENERAL,13,1,0,31,4,0.2,1,1
INDIAMART,INDIVIDUAL,ELECTRONICS,45,0,1,1,8,1.0,0,1
AMAZON,INDIVIDUAL,GENERAL,40,0,0,1,3,0.2,0,0
FLIPKART,INDIVIDUAL,ELECTRONICS,133,0,0,1,2,0.2,0,0
LOCAL_CLASSIFIEDS,MERCHANT,GENERAL,113,0,0,1,4,1.0,1,0
OLX,INDIVIDUAL,ELECTRONICS,155,1,0,41,8,0.2,0,1
INDIAMART,INDIVIDUAL,GENERAL,32,0,1,1,0,0.2,0,0
AMAZON,INDIVIDUAL,ELECTRONICS,121,0,0,1,5,1.0,0,0
FLIPKART,MERCHANT,GENERAL,154,0,0,1,2,0.2,1,1
LOCAL_CLASSIFIEDS,INDIVIDUAL,ELECTRONICS,74,1,0,1,5,0.2,0,1
OLX,INDIVIDUAL,GENERAL,93,0,0,50,2,1.0,0,0
INDIAMART,INDIVIDUAL,ELECTRONICS,163,0,1,1,3,0.2,0,1
AMAZON,MERCHANT,GENERAL,60,0,0,1,4,0.2,1,1
FLIPKART,INDIVIDUAL,ELECTRONICS,112,0,0,1,6,1.0,0,0
LOCAL_CLASSIFIEDS,INDIVIDUAL,GENERAL,28,1,0,1,7,0.2,0,1
OLX,INDIVIDUAL,ELECTRONICS,10,1,0,22,8,0.2,0,0
INDIAMART,MERCHANT,GENERAL,151,0,1,1,6,1.0,1,1
AMAZON,INDIVIDUAL,ELECTRONICS,165,0,0,1,7,0.2,0,1
FLIPKART,INDIVIDUAL,GENERAL,125,0,0,1,1,0.2,0,0
LOCAL_CLASSIFIEDS,INDIVIDUAL,ELECTRONICS,13,0,0,1,3,1.0,0,0
OLX,MERCHANT,GENERAL,116,1,0,19,7,0.2,1,1
INDIAMART,INDIVIDUAL,ELECTRONICS,164,0,1,1,4,0.2,0,1
AMAZON,INDIVIDUAL,GENERAL,36,0,0,1,4,1.0,0,0
FLIPKART,INDIVIDUAL,ELECTRONICS,180,0,0,1,5,0.2,0,0
